------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    44.9702   12.5505
                          01.01.2019 00:00:00    -0.064     6.624
                          01.01.2019 01:00:00    -0.010     6.624
                          01.01.2019 02:00:00     0.073     6.624
                          01.01.2019 03:00:00     0.169     6.624
                          01.01.2019 04:00:00     0.255     6.624
                          01.01.2019 05:00:00     0.309     6.624
                          01.01.2019 06:00:00     0.314     6.624
                          01.01.2019 07:00:00     0.264     6.624
                          01.01.2019 08:00:00     0.164     6.624
                          01.01.2019 09:00:00     0.032     6.624
                          01.01.2019 10:00:00    -0.109     6.624
                          01.01.2019 11:00:00    -0.229     6.624
                          01.01.2019 12:00:00    -0.307     6.624
                          01.01.2019 13:00:00    -0.329     6.624
                          01.01.2019 14:00:00    -0.294     6.624
                          01.01.2019 15:00:00    -0.213     6.624
                          01.01.2019 16:00:00    -0.110     6.624
                          01.01.2019 17:00:00    -0.008     6.624
                          01.01.2019 18:00:00     0.067     6.624
                          01.01.2019 19:00:00     0.102     6.624
                          01.01.2019 20:00:00     0.093     6.624
                          01.01.2019 21:00:00     0.049     6.624
                          01.01.2019 22:00:00    -0.010     6.624
                          01.01.2019 23:00:00    -0.061     6.624
                          01.02.2019 00:00:00    -0.083     6.624
                          01.02.2019 01:00:00    -0.062     6.624
                          01.02.2019 02:00:00     0.002     6.624
                          01.02.2019 03:00:00     0.098     6.624
                          01.02.2019 04:00:00     0.203     6.624
                          01.02.2019 05:00:00     0.290     6.624
                          01.02.2019 06:00:00     0.334     6.624
                          01.02.2019 07:00:00     0.317     6.624
                          01.02.2019 08:00:00     0.237     6.624
                          01.02.2019 09:00:00     0.106     6.624
                          01.02.2019 10:00:00    -0.051     6.624
                          01.02.2019 11:00:00    -0.204     6.624
                          01.02.2019 12:00:00    -0.321     6.624
                          01.02.2019 13:00:00    -0.379     6.624
                          01.02.2019 14:00:00    -0.368     6.624
                          01.02.2019 15:00:00    -0.295     6.624
                          01.02.2019 16:00:00    -0.178     6.624
                          01.02.2019 17:00:00    -0.048     6.624
                          01.02.2019 18:00:00     0.066     6.624
                          01.02.2019 19:00:00     0.139     6.624
                          01.02.2019 20:00:00     0.157     6.624
                          01.02.2019 21:00:00     0.125     6.624
                          01.02.2019 22:00:00     0.058     6.624
                          01.02.2019 23:00:00    -0.018     6.624
                          01.03.2019 00:00:00    -0.076     6.624
                          01.03.2019 01:00:00    -0.092     6.624
                          01.03.2019 02:00:00    -0.056     6.624
                          01.03.2019 03:00:00     0.026     6.624
                          01.03.2019 04:00:00     0.137     6.624
                          01.03.2019 05:00:00     0.247     6.624
                          01.03.2019 06:00:00     0.325     6.624
                          01.03.2019 07:00:00     0.346     6.624
                          01.03.2019 08:00:00     0.297     6.624
                          01.03.2019 09:00:00     0.183     6.624
                          01.03.2019 10:00:00     0.024     6.624
                          01.03.2019 11:00:00    -0.149     6.624
                          01.03.2019 12:00:00    -0.300     6.624
                          01.03.2019 13:00:00    -0.397     6.624
                          01.03.2019 14:00:00    -0.420     6.624
                          01.03.2019 15:00:00    -0.368     6.624
                          01.03.2019 16:00:00    -0.255     6.624
                          01.03.2019 17:00:00    -0.110     6.624
                          01.03.2019 18:00:00     0.033     6.624
                          01.03.2019 19:00:00     0.143     6.624
                          01.03.2019 20:00:00     0.196     6.624
                          01.03.2019 21:00:00     0.187     6.624
                          01.03.2019 22:00:00     0.126     6.624
                          01.03.2019 23:00:00     0.038     6.624
                          01.04.2019 00:00:00    -0.046     6.624
                          01.04.2019 01:00:00    -0.097     6.624
                          01.04.2019 02:00:00    -0.095     6.624
                          01.04.2019 03:00:00    -0.036     6.624
                          01.04.2019 04:00:00     0.066     6.624
                          01.04.2019 05:00:00     0.187     6.624
                          01.04.2019 06:00:00     0.292     6.624
                          01.04.2019 07:00:00     0.349     6.624
                          01.04.2019 08:00:00     0.338     6.624
                          01.04.2019 09:00:00     0.252     6.624
                          01.04.2019 10:00:00     0.105     6.624
                          01.04.2019 11:00:00    -0.074     6.624
                          01.04.2019 12:00:00    -0.249     6.624
                          01.04.2019 13:00:00    -0.381     6.624
                          01.04.2019 14:00:00    -0.443     6.624
