------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    41.3589   16.1972     01.01.2019 00:00:00     0.115     5.000
    41.3589   16.1972     01.01.2019 01:00:00     0.109     5.000
    41.3589   16.1972     01.01.2019 02:00:00     0.083     5.000
    41.3589   16.1972     01.01.2019 03:00:00     0.045     5.000
    41.3589   16.1972     01.01.2019 04:00:00     0.004     5.000
    41.3589   16.1972     01.01.2019 05:00:00    -0.030     5.000
    41.3589   16.1972     01.01.2019 06:00:00    -0.047     5.000
    41.3589   16.1972     01.01.2019 07:00:00    -0.046     5.000
    41.3589   16.1972     01.01.2019 08:00:00    -0.027     5.000
    41.3589   16.1972     01.01.2019 09:00:00     0.001     5.000
    41.3589   16.1972     01.01.2019 10:00:00     0.031     5.000
    41.3589   16.1972     01.01.2019 11:00:00     0.052     5.000
    41.3589   16.1972     01.01.2019 12:00:00     0.055     5.000
    41.3589   16.1972     01.01.2019 13:00:00     0.038     5.000
    41.3589   16.1972     01.01.2019 14:00:00     0.003     5.000
    41.3589   16.1972     01.01.2019 15:00:00    -0.043     5.000
    41.3589   16.1972     01.01.2019 16:00:00    -0.089     5.000
    41.3589   16.1972     01.01.2019 17:00:00    -0.122     5.000
    41.3589   16.1972     01.01.2019 18:00:00    -0.134     5.000
    41.3589   16.1972     01.01.2019 19:00:00    -0.120     5.000
    41.3589   16.1972     01.01.2019 20:00:00    -0.080     5.000
    41.3589   16.1972     01.01.2019 21:00:00    -0.022     5.000
    41.3589   16.1972     01.01.2019 22:00:00     0.041     5.000
    41.3589   16.1972     01.01.2019 23:00:00     0.097     5.000
    41.3589   16.1972     01.02.2019 00:00:00     0.134     5.000
    41.3589   16.1972     01.02.2019 01:00:00     0.144     5.000
    41.3589   16.1972     01.02.2019 02:00:00     0.126     5.000
    41.3589   16.1972     01.02.2019 03:00:00     0.086     5.000
    41.3589   16.1972     01.02.2019 04:00:00     0.033     5.000
    41.3589   16.1972     01.02.2019 05:00:00    -0.019     5.000
    41.3589   16.1972     01.02.2019 06:00:00    -0.057     5.000
    41.3589   16.1972     01.02.2019 07:00:00    -0.074     5.000
    41.3589   16.1972     01.02.2019 08:00:00    -0.066     5.000
    41.3589   16.1972     01.02.2019 09:00:00    -0.038     5.000
    41.3589   16.1972     01.02.2019 10:00:00     0.000     5.000
    41.3589   16.1972     01.02.2019 11:00:00     0.037     5.000
    41.3589   16.1972     01.02.2019 12:00:00     0.060     5.000
    41.3589   16.1972     01.02.2019 13:00:00     0.060     5.000
    41.3589   16.1972     01.02.2019 14:00:00     0.036     5.000
    41.3589   16.1972     01.02.2019 15:00:00    -0.008     5.000
    41.3589   16.1972     01.02.2019 16:00:00    -0.061     5.000
    41.3589   16.1972     01.02.2019 17:00:00    -0.109     5.000
    41.3589   16.1972     01.02.2019 18:00:00    -0.140     5.000
    41.3589   16.1972     01.02.2019 19:00:00    -0.144     5.000
    41.3589   16.1972     01.02.2019 20:00:00    -0.116     5.000
    41.3589   16.1972     01.02.2019 21:00:00    -0.062     5.000
    41.3589   16.1972     01.02.2019 22:00:00     0.009     5.000
    41.3589   16.1972     01.02.2019 23:00:00     0.080     5.000
    41.3589   16.1972     01.03.2019 00:00:00     0.136     5.000
    41.3589   16.1972     01.03.2019 01:00:00     0.166     5.000
    41.3589   16.1972     01.03.2019 02:00:00     0.162     5.000
    41.3589   16.1972     01.03.2019 03:00:00     0.128     5.000
    41.3589   16.1972     01.03.2019 04:00:00     0.071     5.000
    41.3589   16.1972     01.03.2019 05:00:00     0.007     5.000
    41.3589   16.1972     01.03.2019 06:00:00    -0.050     5.000
    41.3589   16.1972     01.03.2019 07:00:00    -0.086     5.000
    41.3589   16.1972     01.03.2019 08:00:00    -0.095     5.000
    41.3589   16.1972     01.03.2019 09:00:00    -0.075     5.000
    41.3589   16.1972     01.03.2019 10:00:00    -0.035     5.000
