DateTime	RMN-SBenedettoDelTronto Sea Level / observed sea level - meter  - mean
2017-08-01T02:00:00Z	-0.018
2017-09-01T02:00:00Z	0.043
2017-10-01T02:00:00Z	-0.033
2017-11-01T02:00:00Z	0.086
2017-12-01T02:00:00Z	-0.037
2018-01-01T02:00:00Z	-0.172
2018-02-01T02:00:00Z	0.008
2018-03-01T02:00:00Z	0.225
2018-04-01T02:00:00Z	-0.034
2018-05-01T02:00:00Z	0.033
2018-06-01T02:00:00Z	0.041
2018-07-01T02:00:00Z	0.021
2018-08-01T02:00:00Z	0.038
2018-09-01T02:00:00Z	0.000
2018-10-01T02:00:00Z	0.069
2018-11-01T02:00:00Z	0.161
2018-12-01T02:00:00Z	0.042
2019-01-01T02:00:00Z	0.043
2019-02-01T02:00:00Z	-0.054
2019-03-01T02:00:00Z	-0.109
2019-04-01T02:00:00Z	-0.015
2019-05-01T02:00:00Z	0.014
2019-06-01T02:00:00Z	-0.037
2019-07-01T02:00:00Z	0.019
2019-08-01T02:00:00Z	-0.008
2019-09-01T02:00:00Z	-0.004
2019-10-01T02:00:00Z	0.025
2019-11-01T02:00:00Z	0.298
2019-12-01T02:00:00Z	0.139
2020-01-01T02:00:00Z	-0.128
2020-02-01T02:00:00Z	-0.084
2020-03-01T02:00:00Z	-0.042
2020-04-01T02:00:00Z	-0.087
2020-05-01T02:00:00Z	-0.058
2020-06-01T02:00:00Z	0.021
2020-07-01T02:00:00Z	-0.017
2020-08-01T02:00:00Z	0.044
2020-09-01T02:00:00Z	0.025
2020-10-01T02:00:00Z	0.151
