Datetime;PoPontelagoscuro;Adige;Piave;Brenta;Livenza;Tagliamento;Isonzo;Ofanto;ZitomislicNeretvaStation;Tronto;Foglia;Potenza
01/01/90 00:00;720.8;104.50;;;;;;;;;;
02/01/90 00:00;703.46;100.90;;;;;;;;;;
03/01/90 00:00;707.77;108.10;;;;;;;;;;
04/01/90 00:00;703.46;106.90;;;;;;;;;;
05/01/90 00:00;694.89;108.10;;;;;;;;;;
06/01/90 00:00;694.89;104.50;;;;;;;;;;
07/01/90 00:00;703.46;105.70;;;;;;;;;;
08/01/90 00:00;703.46;100.90;;;;;;;;;;
09/01/90 00:00;694.89;98.50;;;;;;;;;;
10/01/90 00:00;682.12;102.10;;;;;;;;;;
11/01/90 00:00;665.26;114.20;;;;;;;;;;
12/01/90 00:00;673.66;113.00;;;;;;;;;;
13/01/90 00:00;669.46;110.60;;;;;;;;;;
14/01/90 00:00;665.26;106.90;;;;;;;;;;
15/01/90 00:00;665.26;104.50;;;;;;;;;;
16/01/90 00:00;661.07;102.10;;;;;;;;;;
17/01/90 00:00;640.31;106.90;;;;;;;;;;
18/01/90 00:00;640.31;105.70;;;;;;;;;;
19/01/90 00:00;640.31;111.80;;;;;;;;;;
20/01/90 00:00;648.58;109.40;;;;;;;;;;
21/01/90 00:00;648.58;108.10;;;;;;;;;;
22/01/90 00:00;648.58;102.10;;;;;;;;;;
23/01/90 00:00;632.08;98.50;;;;;;;;;;
24/01/90 00:00;632.08;105.70;;;;;;;;;;
25/01/90 00:00;632.08;113.00;;;;;;;;;;
26/01/90 00:00;644.44;115.50;;;;;;;;;;
27/01/90 00:00;648.58;109.40;;;;;;;;;;
28/01/90 00:00;648.58;104.50;;;;;;;;;;
29/01/90 00:00;673.66;98.50;;;;;;;;;;
30/01/90 00:00;682.12;93.70;;;;;;;;;;
31/01/90 00:00;760.89;96.10;;;;;;;;;;
01/02/90 00:00;1016.38;106.90;;;;;;;;;;
02/02/90 00:00;1011.17;126.50;;;;;;;;;;
03/02/90 00:00;944.26;119.10;;;;;;;;;;
04/02/90 00:00;879.29;110.60;;;;;;;;;;
05/02/90 00:00;830.8;103.30;;;;;;;;;;
