DateTime	RMN-ANCONA Sea Level / observed sea level - meter  - mean
2017-08-01T02:00:00Z	-0.031
2017-09-01T02:00:00Z	0.044
2017-10-01T02:00:00Z	-0.041
2017-11-01T02:00:00Z	0.082
2017-12-01T02:00:00Z	-0.014
2018-01-01T02:00:00Z	-0.003
2018-02-01T02:00:00Z	0.041
2018-03-01T02:00:00Z	0.225
2018-04-01T02:00:00Z	-0.039
2018-05-01T02:00:00Z	0.020
2018-06-01T02:00:00Z	0.022
2018-07-01T02:00:00Z	0.001
2018-08-01T02:00:00Z	0.024
2018-09-01T02:00:00Z	-0.018
2018-10-01T02:00:00Z	0.066
2018-11-01T02:00:00Z	0.172
2018-12-01T02:00:00Z	0.040
2019-01-01T02:00:00Z	0.034
2019-02-01T02:00:00Z	-0.079
2019-03-01T02:00:00Z	-0.108
2019-04-01T02:00:00Z	-0.018
2019-05-01T02:00:00Z	-0.054
2019-06-01T02:00:00Z	-0.040
2019-07-01T02:00:00Z	0.011
2019-08-01T02:00:00Z	-0.017
2019-09-01T02:00:00Z	-0.018
2019-10-01T02:00:00Z	0.024
2019-11-01T02:00:00Z	0.317
2019-12-01T02:00:00Z	0.144
2020-01-01T02:00:00Z	-0.129
2020-02-01T02:00:00Z	-0.087
2020-03-01T02:00:00Z	-0.044
2020-04-01T02:00:00Z	-0.091
2020-05-01T02:00:00Z	-0.059
2020-06-01T02:00:00Z	0.010
2020-07-01T02:00:00Z	-0.024
2020-08-01T02:00:00Z	0.033
2020-09-01T02:00:00Z	0.018
2020-10-01T02:00:00Z	0.149
