DateTime	IOC_OT15 Sea Level / observed sea level - meter  - mean	RMN-OTRANTO Sea Level / observed sea level - meter  - mean
2017-08-01T02:00:00Z		-0.180
2017-09-01T02:00:00Z		-0.201
2017-10-01T02:00:00Z		-0.212
2017-11-01T02:00:00Z		-0.185
2017-12-01T02:00:00Z		-0.255
2018-01-01T02:00:00Z		-0.259
2018-02-01T02:00:00Z		-0.238
2018-03-01T02:00:00Z		-0.067
2018-04-01T02:00:00Z		-0.268
2018-05-01T02:00:00Z		-0.212
2018-06-01T02:00:00Z		-0.145
2018-07-01T02:00:00Z		-0.158
2018-08-01T02:00:00Z		-0.139
2018-09-01T02:00:00Z		-0.172
2018-10-01T02:00:00Z		-0.185
2018-11-01T02:00:00Z		-0.131
2018-12-01T02:00:00Z		-0.157
2019-01-01T02:00:00Z		-0.163
2019-02-01T02:00:00Z		-0.272
2019-03-01T02:00:00Z		-0.329
2019-04-01T02:00:00Z		-0.235
2019-05-01T02:00:00Z		-0.245
2019-06-01T02:00:00Z		-0.212
2019-07-01T02:00:00Z		-0.166
2019-08-01T02:00:00Z		-0.179
2019-09-01T02:00:00Z		-0.178
2019-10-01T02:00:00Z		-0.171
2019-11-01T02:00:00Z		-0.058
2019-12-01T02:00:00Z		-0.127
2020-01-01T02:00:00Z		-0.324
2020-02-01T02:00:00Z		-0.283
2020-03-01T02:00:00Z		-0.269
2020-04-01T02:00:00Z		-0.281
2020-05-01T02:00:00Z		-0.263
2020-06-01T02:00:00Z		-0.169
2020-07-01T02:00:00Z		-0.174
2020-08-01T02:00:00Z		-0.155
2020-09-01T02:00:00Z		-0.160
2020-10-01T02:00:00Z		-0.186
2020-11-01T02:00:00Z		-0.182207407
2020-12-01T02:00:00Z		-0.15823772
