DateTime	RMN-RAVENNA Sea Level / observed sea level - meter  - mean
2019-02-01T02:00:00Z	-0.186
2019-03-01T02:00:00Z	-0.047
2019-04-01T02:00:00Z	0.058
2019-05-01T02:00:00Z	0.103
2019-06-01T02:00:00Z	0.038
2019-07-01T02:00:00Z	0.093
2019-08-01T02:00:00Z	0.056
2019-09-01T02:00:00Z	0.051
2019-10-01T02:00:00Z	0.111
2019-11-01T02:00:00Z	0.411
2019-12-01T02:00:00Z	0.185
2020-01-01T02:00:00Z	-0.077
2020-02-01T02:00:00Z	-0.032
2020-03-01T02:00:00Z	0.031
2020-04-01T02:00:00Z	-0.017
2020-05-01T02:00:00Z	0.033
2020-06-01T02:00:00Z	0.112
2020-07-01T02:00:00Z	0.064
2020-08-01T02:00:00Z	0.118
2020-09-01T02:00:00Z	0.091
2020-10-01T02:00:00Z	0.229
