DateTime	Molo-Sartorio Sea Level / observed sea level - meter  - mean
2015-01-01T02:00:00Z	1.646
2015-02-01T02:00:00Z	1.678
2015-03-01T02:00:00Z	1.586
2015-04-01T02:00:00Z	1.580
2015-05-01T02:00:00Z	1.687
2015-06-01T02:00:00Z	1.643
2015-07-01T02:00:00Z	1.698
2015-08-01T02:00:00Z	1.707
2015-09-01T02:00:00Z	1.729
2015-10-01T02:00:00Z	1.773
2015-11-01T02:00:00Z	1.682
2015-12-01T02:00:00Z	1.526
2016-01-01T02:00:00Z	1.685
2016-02-01T02:00:00Z	1.706
2016-03-01T02:00:00Z	1.717
2016-04-01T02:00:00Z	1.690
2016-05-01T02:00:00Z	1.714
2016-06-01T02:00:00Z	1.740
2016-07-01T02:00:00Z	1.673
2016-08-01T02:00:00Z	1.649
2016-09-01T02:00:00Z	1.731
2016-10-01T02:00:00Z	1.713
2016-11-01T02:00:00Z	1.781
2016-12-01T02:00:00Z	1.503
2017-01-01T02:00:00Z    -999
2017-02-01T02:00:00Z	1.569
2017-03-01T02:00:00Z	1.536
2017-04-01T02:00:00Z	1.579
2017-05-01T02:00:00Z	1.657
2017-06-01T02:00:00Z	1.679
2017-07-01T02:00:00Z	1.700
2017-08-01T02:00:00Z	1.677
2017-09-01T02:00:00Z	1.733
2017-10-01T02:00:00Z	1.656
2017-11-01T02:00:00Z	1.739
2017-12-01T02:00:00Z	1.666
2018-01-01T02:00:00Z	1.803
