DateTime	IOC_OT15 Sea Level / observed sea level - meter  - mean	DUBROVNIK Sea Level / observed sea level - meter  - mean
01-01-92	-999	
01-02-92	-999	
01-03-92	-100	
01-04-92	86	
01-05-92	-43	
01-06-92	93	
01-07-92	14	
01-08-92	47	
01-09-92	12	
01-10-92	271	
01-11-92	104	
01-12-92	75	
01-01-93	-82	
01-02-93	-126	
01-03-93	-35	
01-04-93	12	
01-05-93	58	
01-06-93	46	
01-07-93	-2	
01-08-93	31	
01-09-93	110	
01-10-93	172	
01-11-93	147	
01-12-93	186	
01-01-94	95	
01-02-94	90	
01-03-94	-56	
01-04-94	98	
01-05-94	72	
01-06-94	-1	
01-07-94	31	
01-08-94	103	
01-09-94	122	
01-10-94	130	
01-11-94	145	
01-12-94	76	
01-01-95	94	
01-02-95	64	
01-03-95	39	
01-04-95	-6	
01-05-95	42	
01-06-95	40	
01-07-95	46	
01-08-95	92	
01-09-95	140	
01-10-95	38	
01-11-95	124	
01-12-95	193	
01-01-96	203	
01-02-96	158	
01-03-96	84	
01-04-96	41	
01-05-96	152	
01-06-96	-28	
01-07-96	7	
01-08-96	65	
01-09-96	132	
01-10-96	147	
01-11-96	199	
01-12-96	229	
01-01-97	156	
01-02-97	-36	
01-03-97	-27	
01-04-97	-34	
01-05-97	76	
01-06-97	110	
01-07-97	58	
01-08-97	46	
01-09-97	82	
01-10-97	173	
01-11-97	283	
01-12-97	243	
01-01-98	109	
01-02-98	42	
01-03-98	-19	
01-04-98	128	
01-05-98	110	
01-06-98	71	
01-07-98	121	
01-08-98	143	
01-09-98	187	
01-10-98	187	
01-11-98	189	
01-12-98	84	
01-01-99	89	
01-02-99	122	
01-03-99	99	
01-04-99	121	
01-05-99	121	
01-06-99	86	
01-07-99	105	
01-08-99	155	
01-09-99	172	
01-10-99	168	
01-11-99	190	
01-12-99	157	
01-01-00	25	
01-02-00	27	
01-03-00	-7	
01-04-00	197	
01-05-00	96	
01-06-00	35	
01-07-00	103	
01-08-00	45	
01-09-00	131	
01-10-00	169	
01-11-00	260	
01-12-00	179	
01-01-01	224	
01-02-01	108	
01-03-01	231	
01-04-01	90	
01-05-01	118	
01-06-01	58	
01-07-01	76	
01-08-01	91	
01-09-01	183	
01-10-01	113	
01-11-01	124	
01-12-01	73	
01-01-02	-10	
01-02-02	74	
01-03-02	76	
01-04-02	128	
01-05-02	80	
01-06-02	83	
01-07-02	101	
01-08-02	332	
01-09-02	215	
01-10-02	183	
01-11-02	225	
01-12-02	237	
01-01-03	251	
01-02-03	76	
01-03-03	-18	
01-04-03	71	
01-05-03	49	
01-06-03	78	
01-07-03	96	
01-08-03	112	
01-09-03	99	
01-10-03	203	
01-11-03	162	
01-12-03	152	
01-01-04	198	
01-02-04	68	
01-03-04	66	
01-04-04	147	
01-05-04	167	
01-06-04	111	
01-07-04	85	
01-08-04	128	
01-09-04	125	
01-10-04	219	
01-11-04	203	
01-12-04	144	
01-01-05	75	
01-02-05	98	
01-03-05	105	
01-04-05	115	
01-05-05	102	
01-06-05	88	
01-07-05	122	
01-08-05	152	
01-09-05	143	
01-10-05	109	
01-11-05	156	
01-12-05	172	
01-01-06	43	
01-02-06	122	
01-03-06	208	
01-04-06	114	
01-05-06	67	
01-06-06	86	
01-07-06	96	
01-08-06	195	
01-09-06	169	
01-10-06	191	
01-11-06	102	
01-12-06	-5	
01-01-07	36	
01-02-07	119	
01-03-07	127	
01-04-07	44	
01-05-07	155	
01-06-07	156	
01-07-07	88	
01-08-07	103	
01-09-07	82	
01-10-07	144	
01-11-07	135	
01-12-07	62	
01-01-08	67	
01-02-08	-78	
01-03-08	164	
01-04-08	176	
01-05-08	86	
01-06-08	120	
01-07-08	86	
01-08-08	77	
01-09-08	118	
01-10-08	71	
01-11-08	220	
01-12-08	213	
01-01-09	161	
01-02-09	229	
01-03-09	99	
01-04-09	97	
01-05-09	68	
01-06-09	168	
01-07-09	82	
01-08-09	66	
01-09-09	119	
01-10-09	241	
01-11-09	215	
01-12-09	348	
01-01-10	314	
01-02-10	333	
01-03-10	154	
01-04-10	87	
01-05-10	169	
01-06-10	221	
01-07-10	127	
01-08-10	132	
01-09-10	198	
01-10-10	286	
01-11-10	376	
01-12-10	315	
01-01-11	150	
01-02-11	157	
01-03-11	-999	
01-04-11	-999	
01-05-11	128	
01-06-11	146	
01-07-11	176	
01-08-11	142	
01-09-11	203	
01-10-11	163	
01-11-11	163	
01-12-11	183	
01-01-12	60	
01-02-12	56	
01-03-12	-22	
01-04-12	224	
01-05-12	146	
01-06-12	98	
01-07-12	126	
01-08-12	138	
01-09-12	186	
01-10-12	266	
01-11-12	236	
01-12-12	242	
01-01-13	240	
01-02-13	232	
01-03-13	289	
01-04-13	171	
01-05-13	197	
01-06-13	145	
01-07-13	102	
01-08-13	162	
01-09-13	164	
01-10-13	184	
01-11-13	327	
01-12-13	90	
01-01-14	258	
01-02-14	197	
01-03-14	39	
01-04-14	99	
01-05-14	129	
01-06-14	162	
01-07-14	207	
01-08-14	179	
01-09-14	248	
01-10-14	207	
01-11-14	283	
01-12-14	232	
